code	address	place	lat	lon
1	与謝野町字弓木668	白須様宅横ガードパイプ	35.5533508	135.137323
2	与謝野町字弓木433	罵谷一雄様宅前	35.5544434	135.1370453
3	与謝野町字弓木地内	隊セレモニーまつだ様駐車場フェンス	35.5412953	135.1252452
4	与謝野町字弓木地内	石田農作業場前ガードレール	35.5563889	135.1390557
5	与謝野町字弓木213-1	府営住宅石田団地敷地内フェンス	35.5588019	135.138908
6	与謝野町字弓木地内	大内公園フェンス（横面）	35.5617561	135.1434462
7	与謝野町字弓木1426	宮崎正様宅前		
8	与謝野町字弓木1916-3	糸井徳三様宅前		
9	与謝野町宇弓木1985-1	広野二三子様畑	35.5637504	135.1478477
10	与謝野町字弓木地内	弓木公園フェンス	35.5633096	135.1491674
11	与謝野町字岩滝地内	立町会館前	35.5642759	135.1502491
12	与謝野町字岩滝地内	岩滝加工場前	35.5620373	135.1495356
13	与謝野町字岩滝地内	商工会岩滝支所前駐車場前	35.5649698	135.1521588
14	与謝野町字岩滝地内	旧岩滝郵便局舎前	35.5628097	135.1524485
15	与謝野町字岩滝地内	笹岡敏博様宅前	35.5651705	135.1541061
16	与謝野町字弓木地内	野田団地入口	35.5584308	135.1539336
17	与謝野町宇岩滝地内	菜の花ホーム横ガードパイプ	35.5673916	135.1506835
18	与謝野町字岩滝地内	町民グラウンドB面フェンス	35.5691239	135.1524377
19	与謝野町字岩滝1190	職員駐車場フェンス		
20	与謝野町字岩滝地内	町民ゲートボール場	35.5689974	135.1543153
21	与謝野町字岩滝367-2	有本尭様宅前		
22	与謝野町宇岩滝地内	クアハウス岩滝前	35.5714976	135.1526791
23	与謝野町字男山2715-1	永野明美様宅前		
24	与謝野町字男山702-1	安田建設株式会社様駐車場 フェンス	35.5733422	135.1677745
25	与謝野町字男山384	三田彰徳様宅前		
26	与謝野町字男山地内	北部医療センター前 ガードパイプ	35.5697448	135.1645599
27	与謝野町字男山264	堀口正男様宅前	35.5685132	135.1632777
28	与謝野町字男山地内	阿蘇公園フェンス	35.5696575	135.1615558
29	与謝野町字男山78	福田富美代様宅前		
30	与謝野町字男山地内	岩滝コミュニティーセンター 前	35.5725592	135.1584069
31	与謝野町字三河内810	宮津天橋高等学校加悦谷学舎前 フェンス		
32	与謝野町字三河内847	旧めぐみ保育園前フェンス小北様宅前		
33	与謝野町字三河内1329	小北様宅前		
34	与謝野町字三河内919-2	千賀政典様宅前		
35	与謝野町字三河内1443	大木歌子様宅前		
36	与謝野町字三河内1400	渋谷貞子様宅前		
37	与謝野町字三河内1534	西山和子様宅横		
38	与謝野町字三河内70-1	本田孝三様前		
39	与謝野町字三河内1649	須田歌子様宅前		
41	与謝野町字岩屋176-2	浪江信雄様宅前		
42	与謝野町字岩屋299-1	小倉英生様宅横		
43	与謝野町字岩屋323-2	徳山医院跡前		
44	与謝野町字岩屋892	國屋和秀様宅前		
45	与謝野町字岩屋945	上地児童公園前	35.5277568	135.0704423
46	与謝野町字幾地1817-2	谷口機料店様所有地藤原正治様宅横		
47	与謝野町字幾地843-3	藤原正治様宅横		
48	与謝野町字幾地1559	坂根均様宅前		
49	与謝野町字幾地869-2	三輸正法様宅前		
50	与謝野町字幾地1303-2	時武ゆかり様宅前		
51	与謝野町字幾地1013-2	四辻地区公民館前		
52	与謝野町宇幾地892	安田様宅前		
53	与謝野町字幾地369-1	京都北都信用金庫野田川支店様横		
54	与謝野町字四辻65	野田川庁舎前		
55	与謝野町字四辻744	吉田美由紀様宅横		
56	与謝野町字四辻20	安田邦行様宅前		
57	与謝野町字上山田893	長島伸郎様宅前（江陽中グラウンド下）		
58	与謝野町字上山田574-2	牛田様宅前		
59	与謝野町字上山田997	糸井澄夫様宅前		
60	与謝野町字上山田1-1	中縄児童公園フェンス		
61	与謝野町字上山田9-2	荻野哲利様宅前		
62	与謝野町宇上山田94-3	三谷邦雄様宅前		
63	与謝野町字下山田376-8	旧法務局野田川出張所 前		
64	与謝野町字下山田953-1	茂籠繁様宅前		
65	与謝野町字下山田855	糸井税務会計事務所様 前		
66	与謝野町字下山田1438	町営下山田住宅前	35.5461472	135.1266842
67	与謝野町字下山田2029	井田雅彦様宅前		
68	与謝野町字石川424	浪江英幸様宅前		
69	与謝野町字石川5831	フラフ様横（坂根道崇様所有地）		
70	与謝野町字石川4990番1	大宮神社横		
71	与謝野町字石川2996-4	杉本孝史様宅前		
72	与謝野町字石川2921	吉田透様宅前		
73	与謝野町字石川5546	津田初男様宅前		
74	与謝野町字石川743-2	石川小学校裏門横		
75	与謝野町字石川2404	仲野修作様宅前		
76	与謝野町字石川2325	今井謙一郎様宅前		
77	与謝野町字石川1270-1	町営船山団地前		
78	与謝野町字石川1442	多田神社前水路		
79	与謝野町字石川3048	今岡泉様宅前		
80	与謝野町字石川3223-2	川上公民館前		
81	与謝野町字算所地内	算所縄手遊園地フェンス		
82	与謝野町字算所725-7	算所大石町遊園地フェンス	35.5077794	135.0921522
83	与謝野町字算所121	算所会館前		
84	与謝野町字算所519	加悦聖三一幼稚園様前		
85	与謝野町字算所558	柴田博様宅前	35.5125701	135.0941893
86	与謝野町字算所460	今出屋倉庫横（石本建設棘様所有地）	35.51288	135.0965449
87	与謝野町字算所280-4	ショッピングセンターウィル様前	35.5118582	135.1021052
88	与謝野町字加悦奥86-3	細井文子様宅前 （細井秀治様所有地）		
89	与謝野町字加悦奥210	有吉登志子様宅前		
90	与謝野町字加悦奥280	松本重治様宅前		
91	与謝野町字加悦奥367	小巻様所有地前		
92	与謝野町字加悦奥446	永井様宅前		
93	与謝野町字加悦奥661-1	6番組集会所横水田跡（小巻一明様所有地）	35.503332	135.0762411
94	与謝野町字加悦奥993	谷口誠様宅前三叉路		
95	与謝野町字加悦奥1395	細井義文様宅前		
96	与謝野町字加悦716	加悦小中グラウンド南側	35.506594	135.0908577
97	与謝野町宇加悦1060	旧加悦町役場前		
98	与謝野町字加悦965-5	於久裕樹様宅前		
99	与謝野町字加悦1014	賓相寺様石垣		
100	与謝野町字加悦451	加悦地域公民館前		
101	与謝野町字加悦	加悦谷自転車道前	35.5064462	135.095438
102	与謝野町字加悦433	元気館横	35.5024318	135.0953629
103	与謝野町字加悦227	おのえ株式会社倉庫前		
104	与謝野町字後野773	清原様宅前		
105	与謝野町字後野1206	相原様宅前		
106	与謝野町字後野1009	小谷安博様宅前		
107	与謝野町字後野885	土田容子様宅前		
108	与謝野町字後野762-1	安田吉良様宅塀		
109	与謝野町字後野732-1	松森茂樹様宅横		
110	与謝野町字後野409	細野洋子様所有地		
111	与謝野町字与謝70	谷口暢様宅前	35.4743567	135.0857933
112	与謝野町字与謝108	ニツ岩神社前	35.4719773	135.0849398
113	与謝野町字与謝2658	与謝地区公民館前		
114	与謝野町字与謝2539	面原様宅前	35.4675931	135.0834118
115	与謝野町字与謝2294-1	下宮神社前		
116	与謝野町宇与謝1874-2	砂後様宅横（斉藤友太可様所有地）		
117	与謝野町字与謝856	努畑様宅横空地		
118	与謝野町字与謝598	藤原様宅横		
119	与謝野町字与謝3113-1	和田将豊様宅前（西原義明様所有地）	35.4642747	135.088947
120	与謝野町字滝358	西川秀夫様宅前		
121	与謝野町字滝970-6	滝地区公民館前		
122	与謝野町字滝442	矢野様宅前		
123	与謝野町字滝3665-1	岡田団地前	35.4821016	135.0844162
124	与謝野町字滝1070-2	小田藤太郎様宅前		
125	与謝野町字滝1317	山本順一様宅前	35.4800926	135.0817622
126	与謝野町字滝1410	矢野憲一様宅前		
127	与謝野町字滝1943-1	奥滝公民館前	35.4772485	135.0593939
128	与謝野町字滝1692	小西久夫様宅付近		
129	与謝野町字金屋226	森垣きくみ様宅前		
130	与謝野町字金屋1364-1	生活改善センター		
131	与謝野町字金屋307-1	金屋地区公民館		
132	与謝野町字金屋465-2	石田満喜乃様宅前		
133	与謝野町字金屋431-26	永嶋様車庫前	35.4892216	135.0904545
134	与謝野町字金屋657	小西幸子様宅前		
135	与謝野町字温江511	木佐喜織物時様前（木村博史様所有地）		
136	与謝野町字温江902	温江地区公民館前	35.4988528	135.1071798
137	与謝野町字温江873	藤田至様宅前		
138	与謝野町字温江936-1	千賀様宅前	35.498556	135.1132045
139	与謝野町字温江1623	虫本公民館前		
140	与謝野町字温江2044	佐々木様宅前		
141	与謝野町字温江238	藤田富子様宅前		
142	与謝野町字温江2519-1	尾上団地前	35.4961533	135.1044043
143	与謝野町字明石2006	日産公民館前（市田直利様所有地）	35.5084321	135.1082999
144	与謝野町字明石1737-1	オ本美千恵様宅前		
145	与謝野町字明石1490-1	旧明石地区公民館前（日慨和仁様所有地）	35.5114082	135.1087757
146	与謝野町字明石475	庄ケ崎公民館前	35.519644	135.1111582
147	与謝野町字明石1779-1	明石地区公民館前	35.5108064	135.1075425
148	与謝野町字明石1436	国道176号線交差点（倉橋康友様所有地）	35.5110247	135.1054826
149	与謝野町字香河540	大江久治郎様方車庫		
150	与謝野町字香河422-1	香河地区公民館前	35.5056212	135.1289048
151	与謝野町字香河316-1	日晩寺三叉路	35.5101963	135.1274289
152	与謝野町字香河19-1	小倉雄二郎様宅前付近（福田道徳様所有地）	35.5149118	135.1271152
40	与謝野町字岩屋101	石田一枝様 宅前		
